0,1,2,3,4,5,6
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,
,Raw,Washed,Refined,Raw,Washed,Refined
September '13,"1,565.04","1,749.79","1,963.46",39.37,42.50,47.37
October,"1,633.19","1,755.56","1,991.67",39.18,42.06,47.17
November,"1,667.14","1,789.64","2,029.71",40.11,43.59,47.60
December,"1,658.62","1,766.11","2,060.10",40.11,42.93,47.71
January  2014,"1,598.54","1,722.75","2,007.08",40.15,43.20,47.83
February,"1,605.10","1,727.75","2,007.81",40.30,43.43,47.81
March,"1,680.29","1,819.21","2,053.43",40.83,43.90,47.96
April,"1,768.38","1,917.97","2,148.88",41.03,44.34,48.48
May,"1,829.06","2,025.83","2,269.94",42.06,45.76,49.51
June,"1,830.25","2,050.78","2,299.50",43.66,47.09,50.83
July,"1,819.75","2,050.94","2,298.88",44.33,47.65,51.31
August,"1,793.75","2,033.13","2,280.75",44.30,47.70,51.45
Average,"1 ,704.09","1 ,867.46","2 ,117.60",41.29,44.51,48.75
