0,1,2,3,4,5,6,7,8,9
Period,WHOLESALE (Peso per LKg),RETAIL (Peso per Kilo),,,,,,,
,Raw,Washed,Refined,Raw,Washed,Refined,,,
September 2022,"3,300.00","3,400.00","4,650.00",*,70.00,*,75.0,*,95.0
,,,,**,69.50,**,70.0,**,70.0
October,"3,800.00","4,200.00","4,800.00",*,88.00,*,90.0,*,100.0
,,,,**,87.00,**,70.0,**,106.0
November,"3,800.00","4,000.00","4,500.00",*,85.00,*,90.0,*,100.0
,,,,**,86.00,**,87.0,**,106.0
December,"3,750.00","3,800.00","4,500.00",*,90.00,*,90.0,*,95.0
,,,,**,87.00,**,89.0,**,106.0
January  2023,"3,750.00","3,800.00","4,700.00",*,85.00,*,85.0,*,95.0
,,,,**,87.00,**,89.0,**,106.0
February,"3,850.00","3,900.00","4,700.00",*,85.00,*,90.0,*,95.0
,,,,**,87.00,**,89.0,**,106.0
March,"3,650.00","3,700.00","4,300.00",*,85.00,*,90.0,*,95.0
,,,,**,87.00,**,89.0,**,106.0
April,"3,550.00","3,700.00","4,300.00",*,85.00,*,90.0,*,95.0
,,,,**,87.00,**,89.0,**,105.0
May,"3,600.00","3,800.00","4,200.00",*,85.00,*,90.0,*,100.0
,,,,**,87.00,**,89.0,**,105.0
June,"3,750.00","3,800.00","4,100.00",*,85.00,*,90.0,*,100.0
,,,,**,87.00,**,89.0,**,105.0
July,"3,650.00","3,800.00","4,100.00",*,85.00,*,90.0,*,95.0
,,,,**,87.00,**,89.0,**,105.0
August,"3,700.00","3,800.00","4,100.00",*,85.00,*,90.0,*,95.0
,,,,**,82.00,**,88.0,**,95.0
,,,,*,84.42,*,88.33,*,96.67
Average,"3,679.17","3,808.33","4,412.50",**,85.04,**,85.58,**,101.75
