0,1,2,3,4,5
Month,"""A"" Export","""B"" Domestic","""D"" World",Composite Price,"Molasses(Pesos/MT)"
"September, 2011","1,174.38","1 ,332.50","1,161.25","1,285.60","2,600.00"
October,"1,274.84","1 ,279.83","1,171.62","1,257.79","2,746.04"
November,"1,330.51","1 ,176.60","1,119.38","1,177.47","3,013.20"
December,"1,295.64","1 ,245.01","1,093.55","1,218.77","3,470.54"
"January,  2012","1,275.19","1 ,273.04","1,120.17","1,242.64","3,544.53"
February,"1,233.24","1 ,291.03","1,139.38","1,256.08","4,249.93"
March,"1,299.74","1 ,394.06","1,185.46","1,344.79","4,558.48"
April,"1,281.25","1 ,484.36","1,163.65","1,403.97","4,834.95"
May,"1,170.93","1 ,509.55","1,094.64","1,399.48","5,121.59"
June,"1,191.95","1 ,676.25","1,103.24","1,522.90","5,863.83"
July,"1,100.00","1 ,691.67","1,100.00","1,526.00","6,321.67"
August,"1,185.00","1 ,678.75","1,085.00","1,520.50","6,255.00"
AVERAGE,"1,234.39","1,419.39","1,128.11","1,346.33","4,381.65"
