0,1,2,3,4
Month,"""A"" Export","""B"" Domestic",Composite Price,"Molasses(Pesos/MT)"
"September, 2020","1,114.03","1,521.20","1,492.70","10,625.00"
October,"1,192.76","1,469.80","1,450.41","9,954.20"
November,"1,266.74","1,524.73","1,506.67","9,038.87"
December,"1,283.97","1,509.18","1,493.42","8,705.52"
"January,  2021","1,269.79","1,507.10","1,490.48","8,977.99"
February,"1,256.83","1,522.05","1,503.48","9,130.65"
March,"1,289.59","1,608.23","1,585.93","8,908.76"
April,,"1,658.61","1,658.61","8,938.87"
May,,"1,653.78","1,653.78","8,841.09"
June,,"1,603.56","1,603.56","8,702.23"
July,,"1,613.33","1,613.33","10,133.33"
August,,"1,641.24","1,641.24","9,825.00"
AVERAGE,"1,239.10","1,569.40","1,550.22","9,315.13"
