0,1,2,3,4,5
MONTH,"CROP YEAR2019-2020","CROP YEAR2018-2019","CROP YEAR2017-2018","CROP YEAR2016-2017","CROP YEAR2015-2016"
September,"7 2,918","6 6,209","8 7,442","7 9,753","8 3,765"
October,"9 6,493","109,415","140,699","121,623","9 9,589"
November,"138,779","9 8,265","130,575","121,505","155,903"
December,"172,714","187,713","162,793","125,688","142,395"
January,"146,319","132,245","153,946","195,720","268,522"
February,"195,341","210,312","164,371","193,320","288,358"
March,"251,786","284,137","212,698","236,687","219,244"
April,"170,032","214,960","295,885","287,449","167,077"
May,"253,586","184,099","256,387","192,025","225,027"
June,"145,179","158,000","191,729","212,961","190,784"
July,"176,576","123,994","169,047","201,961","210,836"
August,"209,093","114,871","132,781","147,681","111,670"
T O T AL,"2,028,816","1,884,220","2,098,353","2,116,373","2 ,163,170"
AVERAGE,"169,068","157,018","174,863","176,364","180,264"
