0,1,2,3,4,5
MONTH,"CROP YEAR2024-2025","CROP YEAR2023-2024","CROP YEAR2022-2023","CROP YEAR2021-2022","CROP YEAR2020-2021"
September,"5,645","96,765","106,610","5 9,805","22,347"
October,"89,967","208,093","204,012","1 64,034","110,399"
November,"114,920","208,852","212,945","1 80,875","212,148"
December,"281,544","339,797","266,845","2 11,520","214,832"
January,"276,663","300,663","255,619","3 22,306","350,486"
February,"323,010","321,778","255,444","3 32,041","314,603"
March,"402,311","303,519","256,921","2 66,680","313,384"
April,"259,618","120,619","187,590","1 36,210","311,192"
May,"201,921","22,500","45,606","9 8,687","241,758"
June,"116,442",-,"5,910","1 9,679","43,491"
July,"12,858",-,"1,965",265,"3,437"
August,635,-,-,"2 8,761",4941
September 2025,-,-,-,-,0
"Total Production(MT)","2,085,534","1,922,586","1,799,466","1,820,863","2,143,018"
"Total AreaHarvested (Hectares)","397,763","390,540","380,815","394,637","399,166"
"Yield per Hectare(LKg/Ha.)",104.86,98.46,94.51,92.28,107.37
