0,1,2,3,4,5
MONTH,"CROP YEAR2014-2015","CROP YEAR2013-2014","CROP YEAR2012-2013","CROP YEAR2011-2012","CROP YEAR2010-2011"
September,"537,770","2 06,561",-,-,-
October,"1,623,075","1,649,236","1,243,493","551,476","109,704"
November,"2,277,043","1,584,942","1,979,204","1,881,302","841,789"
December,"2,223,994","2,885,683","2,932,556","2,141,073","1,601,292"
January,"2,259,613","2,573,611","2,909,271","3,166,597","2,708,125"
February,"3,124,172","3,165,192","3,097,608","2,834,026","2,820,381"
March,"3,939,203","3,808,332","3,716,172","3,105,412","2,440,056"
April,"2,405,134","2,231,665","2,557,688","2,880,487","1,976,195"
May,"1,711,529","1,593,592","2,132,999","1,467,545","2,065,540"
June,"972,463","9 32,718","528,915","658,469","836,568"
July,"380,167","2 5,318",-,"37,344","851,987"
August,"73,471","3 0,863",3,-,"224,896"
T O T AL,"21,527,634","20,687,713","21,097,909","18,723,731","16,476,533"
AVERAGE,"1,793,970","1,723,976","2,109,791","1,872,373","1,373,044"
