0,1,2,3,4
MONTH,"CROP YEAR2019-2020","CROP YEAR2018-2019","CROP YEAR2017-2018","CROP YEAR2016-2017"
September,"1 ,050,586","963,666","1,200,776","895,878"
October,"1 ,051,614","1,261,195","1,821,316","1,350,843"
November,"1 ,114,830","1,073,164","1,365,091","1,187,954"
December,"1 ,371,877","1,295,418","1,915,705","1,308,035"
January,"1 ,026,899","1,126,850","2,064,024","1,722,779"
February,"1 ,211,885","976,910","1,965,441","1,733,173"
March,"1 ,779,645","1,391,419","1,945,655","1,545,205"
April,"783,729","1,165,581","2,549,053","2,032,763"
May,"1 ,240,253","1,202,735","1,856,270","1,792,381"
June,"1 ,200,758","2,062,674","1,712,528","1,810,192"
July,"1 ,380,246","1,522,326","2,133,248","2,062,981"
August,"1 ,510,273","1,468,424","1,291,693","1,837,479"
T O T AL,"14,722,595","15,510,362","21,820,800",
AVERAGE,"1,226,883","1,292,530","1,818,400",
