0,1,2,3,4,5
MONTH,"CROP YEAR2023-2024","CROP YEAR2023-2024","CROP YEAR2022-2023","CROP YEAR2021-2022","CROP YEAR2020-2021"
September,"1,044,575","367,692","653,106","935,489","1,197,172"
October,"946,186","716,481","1,297,513","1,127,305","1,081,328"
November,"990,556","674,464","992,443","1,239,671","1,334,382"
December,"1,212,748","1,109,465","882,287","1,270,792","1,012,473"
January,"1,131,351","1,017,046","1,127,713","1,995,082","1,604,049"
February,"1,119,597","1,029,578","902,429","2,042,604","1,649,085"
March,"1,235,034","1,348,478","934,551","2,029,113","1,854,637"
April,"962,074","1,042,072","1,296,228","1,504,863","1,676,556"
May,"1,134,187","1,177,536","692,246","1,789,624","1,735,626"
June,"1,316,862","1,183,388","634,228","1,421,635","1,685,414"
July,"908,576","946,709","592,765","1,354,494","1,623,398"
August,"865,969","1,439,188","519,388","587,861","1,740,712"
September 2025,"590,405",,,,
T O T AL,"13,458,120","12,052,097","10,524,897","17,298,533","18,194,832"
AVERAGE,"1,121,510","1,004,341","877,075","1,441,544","1,516,236"
