crop_year,crop_year_start,price_kind,market_level,product_type,unit,average_price,months_count
2010-2011,2010,monthly_average,retail_wet_market,raw_sugar,PHP/kg,52.8975,12
2010-2011,2010,monthly_average,retail_wet_market,refined_sugar,PHP/kg,58.534166666666664,12
2010-2011,2010,monthly_average,retail_wet_market,washed_sugar,PHP/kg,55.415,12
2010-2011,2010,monthly_average,wholesale,raw_sugar,PHP/LKg,2096.77,12
2010-2011,2010,monthly_average,wholesale,refined_sugar,PHP/LKg,2544.68,12
2010-2011,2010,monthly_average,wholesale,washed_sugar,PHP/LKg,2309.6233333333334,12
2011-2012,2011,monthly_average,retail_wet_market,raw_sugar,PHP/kg,39.285833333333336,12
2011-2012,2011,monthly_average,retail_wet_market,refined_sugar,PHP/kg,46.3225,12
2011-2012,2011,monthly_average,retail_wet_market,washed_sugar,PHP/kg,41.875,12
2011-2012,2011,monthly_average,wholesale,raw_sugar,PHP/LKg,1551.25,12
2011-2012,2011,monthly_average,wholesale,refined_sugar,PHP/LKg,2000.16,12
2011-2012,2011,monthly_average,wholesale,washed_sugar,PHP/LKg,1686.1783333333333,12
2012-2013,2012,monthly_average,retail_wet_market,raw_sugar,PHP/kg,40.51333333333333,12
2012-2013,2012,monthly_average,retail_wet_market,refined_sugar,PHP/kg,48.39833333333333,12
2012-2013,2012,monthly_average,retail_wet_market,washed_sugar,PHP/kg,43.23,12
2012-2013,2012,monthly_average,wholesale,raw_sugar,PHP/LKg,1566.83,12
2012-2013,2012,monthly_average,wholesale,refined_sugar,PHP/LKg,1995.54,12
2012-2013,2012,monthly_average,wholesale,washed_sugar,PHP/LKg,1704.38,12
2013-2014,2013,monthly_average,retail_wet_market,raw_sugar,PHP/kg,41.285833333333336,12
2013-2014,2013,monthly_average,retail_wet_market,refined_sugar,PHP/kg,48.7525,12
2013-2014,2013,monthly_average,retail_wet_market,washed_sugar,PHP/kg,44.512499999999996,12
2013-2014,2013,monthly_average,wholesale,raw_sugar,PHP/LKg,1704.09,12
2013-2014,2013,monthly_average,wholesale,refined_sugar,PHP/LKg,2117.6,12
2013-2014,2013,monthly_average,wholesale,washed_sugar,PHP/LKg,1867.455,12
2014-2015,2014,monthly_average,retail_wet_market,raw_sugar,PHP/kg,44.969166666666666,12
2014-2015,2014,monthly_average,retail_wet_market,refined_sugar,PHP/kg,52.274166666666666,12
2014-2015,2014,monthly_average,retail_wet_market,washed_sugar,PHP/kg,48.33916666666667,12
2014-2015,2014,monthly_average,wholesale,raw_sugar,PHP/LKg,1774.27,12
2014-2015,2014,monthly_average,wholesale,refined_sugar,PHP/LKg,2252.48,12
2014-2015,2014,monthly_average,wholesale,washed_sugar,PHP/LKg,1937.845,12
2015-2016,2015,monthly_average,wholesale,raw_sugar,PHP/LKg,1955.35,12
2015-2016,2015,monthly_average,wholesale,refined_sugar,PHP/LKg,2464.26,12
2016-2017,2016,monthly_average,wholesale,raw_sugar,PHP/LKg,1731.6,12
2016-2017,2016,monthly_average,wholesale,refined_sugar,PHP/LKg,2176.17,12
2017-2018,2017,monthly_average,wholesale,raw_sugar,PHP/LKg,1728.25,12
2017-2018,2017,monthly_average,wholesale,refined_sugar,PHP/LKg,2283.19,12
2018-2019,2018,monthly_average,wholesale,raw_sugar,PHP/LKg,1756.19,12
2018-2019,2018,monthly_average,wholesale,refined_sugar,PHP/LKg,2281.45,12
2019-2020,2019,monthly_average,retail_wet_market,raw_sugar,PHP/kg,46.697916666666664,12
2019-2020,2019,monthly_average,retail_wet_market,refined_sugar,PHP/kg,52.625416666666666,12
2019-2020,2019,monthly_average,retail_wet_market,washed_sugar,PHP/kg,50.17124999999999,12
2019-2020,2019,monthly_average,wholesale,raw_sugar,PHP/LKg,1715.66,12
2019-2020,2019,monthly_average,wholesale,refined_sugar,PHP/LKg,2241.61,12
2019-2020,2019,monthly_average,wholesale,washed_sugar,PHP/LKg,1840.18,12
2020-2021,2020,monthly_average,retail_wet_market,raw_sugar,PHP/kg,44.83041666666667,12
2020-2021,2020,monthly_average,retail_wet_market,refined_sugar,PHP/kg,52.64041666666666,12
2020-2021,2020,monthly_average,retail_wet_market,washed_sugar,PHP/kg,46.87291666666667,12
2020-2021,2020,monthly_average,wholesale,raw_sugar,PHP/LKg,1761.2,12
2020-2021,2020,monthly_average,wholesale,refined_sugar,PHP/LKg,2216.94,12
2020-2021,2020,monthly_average,wholesale,washed_sugar,PHP/LKg,1885.5616666666667,12
2021-2022,2021,monthly_average,retail_wet_market,raw_sugar,PHP/kg,52.826249999999995,12
2021-2022,2021,monthly_average,retail_wet_market,refined_sugar,PHP/kg,67.10083333333334,12
2021-2022,2021,monthly_average,retail_wet_market,washed_sugar,PHP/kg,55.20208333333333,12
2021-2022,2021,monthly_average,wholesale,raw_sugar,PHP/LKg,2269.04,12
2021-2022,2021,monthly_average,wholesale,refined_sugar,PHP/LKg,3009.49,12
2021-2022,2021,monthly_average,wholesale,washed_sugar,PHP/LKg,2400.1979166666665,12
2022-2023,2022,monthly_average,retail_wet_market,raw_sugar,PHP/kg,84.63833333333334,12
2022-2023,2022,monthly_average,retail_wet_market,refined_sugar,PHP/kg,97.2975,12
2022-2023,2022,monthly_average,retail_wet_market,washed_sugar,PHP/kg,87.91250000000001,12
2022-2023,2022,monthly_average,wholesale,raw_sugar,PHP/LKg,3683.83,12
2022-2023,2022,monthly_average,wholesale,refined_sugar,PHP/LKg,4375.05,12
2022-2023,2022,monthly_average,wholesale,washed_sugar,PHP/LKg,3817.2025,12
