crop_year,crop_year_start,raw_sugar_domestic_withdrawals,raw_sugar_production,refined_sugar_production,refined_sugar_withdrawals,area_harvested_hectares,total_raw_sugar_production_mt,yield_lkg_per_ha,avg_millsite_b_domestic_php_lkg,avg_metro_manila_raw_php_lkg,avg_metro_manila_refined_php_lkg
2010-2011,2010,1716505.0,2399116.0,823826.65,763326.5,395381.0,2399116.0,121.36,1899.77,2096.77,2544.68
2011-2012,2011,2029866.0,2244131.0,936186.55,944871.6,422384.0,2244131.0,106.26,1419.39,1551.25,2000.16
2012-2013,2012,2184512.0,2465116.0,1054895.45,1024782.75,424132.0,2465116.0,116.24,1395.27,1566.83,1995.54
2013-2014,2013,2202443.0,2461808.0,1034385.65,1115935.45,423333.0,2461808.0,116.31,1536.05,1704.09,2117.6
2014-2015,2014,2240682.0,2323817.0,1076381.7,1008300.1,416893.0,2323817.0,111.48,1566.61,1774.27,2252.48
2015-2016,2015,2163170.0,2238872.0,957331.45,878915.35,413435.0,2238872.0,108.31,1774.28,1955.35,2464.26
2016-2017,2016,2116373.0,2500509.0,962610.0,963983.15,421358.0,2500509.0,118.69,1503.28,1731.6,2176.17
2017-2018,2017,2098353.0,2083641.0,926677.4,1091040.0,418215.0,2083641.0,99.64,1541.49,1728.25,2283.19
2018-2019,2018,1884220.0,2074110.0,827187.85,775518.1,409714.0,2074110.0,101.25,1549.06,1756.19,2281.45
2019-2020,2019,2028816.0,2145693.0,839542.85,736129.75,403101.0,2145693.0,106.46,1493.8,1715.66,2241.61
2020-2021,2020,2033366.0,2143018.0,758839.75,909741.6,399166.0,2143018.0,107.37,1550.22,1761.2,2216.94
2021-2022,2021,1939658.0,1820863.0,748505.8,864926.65,394637.0,1820863.0,92.28,2041.87,2269.04,3009.49
2022-2023,2022,1748403.0,1799467.0,640908.0,526244.85,380815.0,1799466.0,94.51,3177.48,3683.83,4375.05
2023-2024,2023,1812297.0,1922586.0,691380.25,602604.8500000001,390540.0,1922586.0,98.46,2577.87,3108.04,3686.09
2024-2025,2024,1960805.0,2085534.0,618388.3,672906.0,397763.0,2085534.0,104.86,2679.27,3097.75,3607.96
