crop_year,crop_year_start,area_harvested_hectares,total_raw_sugar_production_mt,yield_lkg_per_ha
2010-2011,2010,395381.0,2399116.0,121.36
2011-2012,2011,422384.0,2244131.0,106.26
2012-2013,2012,424132.0,2465116.0,116.24
2013-2014,2013,423333.0,2461808.0,116.31
2014-2015,2014,416893.0,2323817.0,111.48
2015-2016,2015,413435.0,2238872.0,108.31
2016-2017,2016,421358.0,2500509.0,118.69
2017-2018,2017,418215.0,2083641.0,99.64
2018-2019,2018,409714.0,2074110.0,101.25
2019-2020,2019,403101.0,2145693.0,106.46
2020-2021,2020,399166.0,2143018.0,107.37
2021-2022,2021,394637.0,1820863.0,92.28
2022-2023,2022,380815.0,1799466.0,94.51
2023-2024,2023,390540.0,1922586.0,98.46
2024-2025,2024,397763.0,2085534.0,104.86
