crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2010-2011,2010,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,51.18,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,55.17,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,53.69,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,2332.08,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,2603.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,2497.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,51.91,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,54.7,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,53.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,2490.43,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,2756.94,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,2649.24,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,54.32,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,57.52,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,56.12,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,2533.92,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,2940.74,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_05_lattice.csv
