crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,price,source_period,source_file
2010-2011,2010,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,1335.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,2304.49,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,Composite Price,,raw_sugar,PHP/LKg,2236.63,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,Molasses,,molasses,PHP/MT,8773.75,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,1451.19,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,2442.18,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,Composite Price,,raw_sugar,PHP/LKg,2372.81,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,Molasses,,molasses,PHP/MT,9059.61,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,1514.54,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,2478.94,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,Composite Price,,raw_sugar,PHP/LKg,2411.43,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,Molasses,,molasses,PHP/MT,9169.23,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,1497.3,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,2277.74,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,Composite Price,,raw_sugar,PHP/LKg,2223.11,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,Molasses,,molasses,PHP/MT,7522.23,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2011-2012,2011,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,1174.38,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1332.5,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,1161.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,September,1,Composite Price,,raw_sugar,PHP/LKg,1285.6,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
