crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2010-2011,2010,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,335.00",reported,1335.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,304.49",reported,2304.49,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,Composite Price,,raw_sugar,PHP/LKg,"2,236.63",reported,2236.63,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,September,1,Molasses,,molasses,PHP/MT,"8,773.75",reported,8773.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,451.19",reported,1451.19,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,442.18",reported,2442.18,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,Composite Price,,raw_sugar,PHP/LKg,"2,372.81",reported,2372.81,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,October,2,Molasses,,molasses,PHP/MT,"9,059.61",reported,9059.61,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,514.54",reported,1514.54,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,478.94",reported,2478.94,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,Composite Price,,raw_sugar,PHP/LKg,"2,411.43",reported,2411.43,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,November,3,Molasses,,molasses,PHP/MT,"9,169.23",reported,9169.23,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,497.30",reported,1497.3,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
2010-2011,2010,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"2 ,277.74",reported,2277.74,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_05_lattice.csv
