crop_year,month,month_order,indicator,product_type,unit_original,value_lkg,value_mt,source_dataset,source_period,source_file,sugar_class,crop_year_start
2010-2011,September,1,raw_sugar_domestic_withdrawals,raw_sugar,MT,712160.0,35608.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,September,1,raw_sugar_production,raw_sugar,MT,202040.0,10102.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,September,1,refined_sugar_withdrawals,refined_sugar,LKg,911148.0,45557.4,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,October,2,raw_sugar_domestic_withdrawals,raw_sugar,MT,1397620.0,69881.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,October,2,raw_sugar_production,raw_sugar,MT,1512560.0,75628.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,October,2,refined_sugar_production,refined_sugar,LKg,109704.0,5485.200000000001,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,October,2,refined_sugar_withdrawals,refined_sugar,LKg,1012403.0,50620.15,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,November,3,raw_sugar_domestic_withdrawals,raw_sugar,MT,1725320.0,86266.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,November,3,raw_sugar_production,raw_sugar,MT,3225720.0,161286.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,November,3,refined_sugar_production,refined_sugar,LKg,841789.0,42089.45,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,November,3,refined_sugar_withdrawals,refined_sugar,LKg,805945.0,40297.25,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,December,4,raw_sugar_domestic_withdrawals,raw_sugar,MT,2499680.0,124984.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,December,4,raw_sugar_production,raw_sugar,MT,6279280.0,313964.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,December,4,refined_sugar_production,refined_sugar,LKg,1601292.0,80064.6,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,December,4,refined_sugar_withdrawals,refined_sugar,LKg,1074847.0,53742.350000000006,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,January,5,raw_sugar_domestic_withdrawals,raw_sugar,MT,3350920.0,167546.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,January,5,raw_sugar_production,raw_sugar,MT,8332060.0,416603.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,January,5,refined_sugar_production,refined_sugar,LKg,2708125.0,135406.25,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,January,5,refined_sugar_withdrawals,refined_sugar,LKg,1090875.0,54543.75,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,February,6,raw_sugar_domestic_withdrawals,raw_sugar,MT,4113020.0,205651.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,February,6,raw_sugar_production,raw_sugar,MT,7932160.0,396608.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,February,6,refined_sugar_production,refined_sugar,LKg,2820381.0,141019.05000000002,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,February,6,refined_sugar_withdrawals,refined_sugar,LKg,1113452.0,55672.600000000006,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,March,7,raw_sugar_domestic_withdrawals,raw_sugar,MT,4218480.0,210924.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,March,7,raw_sugar_production,raw_sugar,MT,7016260.0,350813.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,March,7,refined_sugar_production,refined_sugar,LKg,2440056.0,122002.8,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,March,7,refined_sugar_withdrawals,refined_sugar,LKg,1333760.0,66688.0,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,April,8,raw_sugar_domestic_withdrawals,raw_sugar,MT,4052560.0,202628.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,April,8,raw_sugar_production,raw_sugar,MT,6165840.0,308292.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,April,8,refined_sugar_production,refined_sugar,LKg,1976195.0,98809.75,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,April,8,refined_sugar_withdrawals,refined_sugar,LKg,1118949.0,55947.45,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,May,9,raw_sugar_domestic_withdrawals,raw_sugar,MT,3563480.0,178174.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,May,9,raw_sugar_production,raw_sugar,MT,4916340.0,245817.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,May,9,refined_sugar_production,refined_sugar,LKg,2065540.0,103277.0,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,May,9,refined_sugar_withdrawals,refined_sugar,LKg,1531500.0,76575.0,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,June,10,raw_sugar_domestic_withdrawals,raw_sugar,MT,3567940.0,178397.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,June,10,raw_sugar_production,raw_sugar,MT,1573180.0,78659.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,June,10,refined_sugar_production,refined_sugar,LKg,836568.0,41828.4,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,June,10,refined_sugar_withdrawals,refined_sugar,LKg,1495942.0,74797.1,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,July,11,raw_sugar_domestic_withdrawals,raw_sugar,MT,2895000.0,144750.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,July,11,raw_sugar_production,raw_sugar,MT,728740.0,36437.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,July,11,refined_sugar_production,refined_sugar,LKg,851987.0,42599.350000000006,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,July,11,refined_sugar_withdrawals,refined_sugar,LKg,2015467.0,100773.35,refined_withdrawals,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,,2010
2010-2011,August,12,raw_sugar_domestic_withdrawals,raw_sugar,MT,2233920.0,111696.0,raw_domestic_withdrawals,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv,"""B"" Domestic",2010
2010-2011,August,12,raw_sugar_production,raw_sugar,MT,98140.0,4907.0,raw_production,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv,,2010
2010-2011,August,12,refined_sugar_production,refined_sugar,LKg,224896.0,11244.8,refined_production,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv,,2010
