crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2014-2015,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1714.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1967.61,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2195.86,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.23,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.57,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1673.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1895.47,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2115.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.19,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.53,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.46,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1674.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1815.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2056.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.12,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.53,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.28,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1654.8,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1815.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2090.8,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.48,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.87,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,December,4,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.65,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,January,5,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1656.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,January,5,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1805.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
2014-2015,January,5,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2140.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_01_lattice.csv
