crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2014-2015,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,91578.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,103637.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,103750.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,61458.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,35608.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,152374.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,126110.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,127423.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,111533.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,69881.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,183967.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,132064.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,167935.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,125636.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,86266.0,2010-2015,data\extracted\raw_domestic_withdrawals\2010-2015\table_01_lattice.csv
