crop_year,indicator,unit,value,source_period,source_file
2014-2015,total_raw_sugar_production,MT,2323817.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,total_raw_sugar_production,MT,2461808.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,total_raw_sugar_production,MT,2465116.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,total_raw_sugar_production,MT,2244131.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,total_raw_sugar_production,MT,2399116.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,total_raw_sugar_production,MT,416893.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,total_raw_sugar_production,MT,423333.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,total_raw_sugar_production,MT,424132.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,total_raw_sugar_production,MT,422384.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,total_raw_sugar_production,MT,395381.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,yield_per_hectare,LKg/Ha,111.48,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,yield_per_hectare,LKg/Ha,116.31,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,yield_per_hectare,LKg/Ha,116.24,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,yield_per_hectare,LKg/Ha,106.26,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,yield_per_hectare,LKg/Ha,121.36,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2019-2020,total_raw_sugar_production,MT,2145693.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,total_raw_sugar_production,MT,2074110.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,total_raw_sugar_production,MT,2083641.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,total_raw_sugar_production,MT,2500509.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,total_raw_sugar_production,MT,2238872.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,total_raw_sugar_production,MT,403101.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,total_raw_sugar_production,MT,409714.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,total_raw_sugar_production,MT,418215.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,total_raw_sugar_production,MT,421358.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,total_raw_sugar_production,MT,413435.0,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2019-2020,yield_per_hectare,LKg/Ha,106.46,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2018-2019,yield_per_hectare,LKg/Ha,101.25,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2017-2018,yield_per_hectare,LKg/Ha,99.64,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2016-2017,yield_per_hectare,LKg/Ha,118.69,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2015-2016,yield_per_hectare,LKg/Ha,108.31,2015-2020,data\extracted\raw_production\2015-2020\table_01_lattice.csv
2024-2025,total_raw_sugar_production,MT,2085534.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,total_raw_sugar_production,MT,1922586.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,total_raw_sugar_production,MT,1799466.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,total_raw_sugar_production,MT,1820863.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,total_raw_sugar_production,MT,2143018.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,total_raw_sugar_production,MT,397763.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,total_raw_sugar_production,MT,390540.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,total_raw_sugar_production,MT,380815.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,total_raw_sugar_production,MT,394637.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,total_raw_sugar_production,MT,399166.0,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2024-2025,yield_per_hectare,LKg/Ha,104.86,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2023-2024,yield_per_hectare,LKg/Ha,98.46,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2022-2023,yield_per_hectare,LKg/Ha,94.51,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2021-2022,yield_per_hectare,LKg/Ha,92.28,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
2020-2021,yield_per_hectare,LKg/Ha,107.37,2020-2025,data\extracted\raw_production\2020-2025\table_01_lattice.csv
