crop_year,month,month_order,product_type,metric,unit,value,source_period,source_file
2014-2015,September,1,raw_sugar,raw_sugar_production,MT,101576.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,September,1,raw_sugar,raw_sugar_production,MT,83353.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,September,1,raw_sugar,raw_sugar_production,MT,73528.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,September,1,raw_sugar,raw_sugar_production,MT,5462.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,September,1,raw_sugar,raw_sugar_production,MT,10102.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,October,2,raw_sugar,raw_sugar_production,MT,158494.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,October,2,raw_sugar,raw_sugar_production,MT,185821.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,October,2,raw_sugar,raw_sugar_production,MT,208478.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,October,2,raw_sugar,raw_sugar_production,MT,146002.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,October,2,raw_sugar,raw_sugar_production,MT,75628.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,November,3,raw_sugar,raw_sugar_production,MT,326410.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,November,3,raw_sugar,raw_sugar_production,MT,239909.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,November,3,raw_sugar,raw_sugar_production,MT,304009.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,November,3,raw_sugar,raw_sugar_production,MT,279765.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,November,3,raw_sugar,raw_sugar_production,MT,161286.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,December,4,raw_sugar,raw_sugar_production,MT,281589.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2013-2014,December,4,raw_sugar,raw_sugar_production,MT,420589.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2012-2013,December,4,raw_sugar,raw_sugar_production,MT,439759.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2011-2012,December,4,raw_sugar,raw_sugar_production,MT,328134.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2010-2011,December,4,raw_sugar,raw_sugar_production,MT,313964.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
2014-2015,January,5,raw_sugar,raw_sugar_production,MT,334084.0,2010-2015,data\extracted\raw_production\2010-2015\table_01_lattice.csv
