crop_year,month,month_order,product_type,metric,unit,value_lkg,value_mt,source_period,source_file
2014-2015,September,1,refined_sugar,refined_sugar_production,LKg,537770.0,26888.5,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,September,1,refined_sugar,refined_sugar_production,LKg,206561.0,10328.050000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,October,2,refined_sugar,refined_sugar_production,LKg,1623075.0,81153.75,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,October,2,refined_sugar,refined_sugar_production,LKg,1649236.0,82461.8,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,October,2,refined_sugar,refined_sugar_production,LKg,1243493.0,62174.65,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,October,2,refined_sugar,refined_sugar_production,LKg,551476.0,27573.800000000003,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,October,2,refined_sugar,refined_sugar_production,LKg,109704.0,5485.200000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,November,3,refined_sugar,refined_sugar_production,LKg,2277043.0,113852.15000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,November,3,refined_sugar,refined_sugar_production,LKg,1584942.0,79247.1,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,November,3,refined_sugar,refined_sugar_production,LKg,1979204.0,98960.20000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,November,3,refined_sugar,refined_sugar_production,LKg,1881302.0,94065.1,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,November,3,refined_sugar,refined_sugar_production,LKg,841789.0,42089.450000000004,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,December,4,refined_sugar,refined_sugar_production,LKg,2223994.0,111199.70000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,December,4,refined_sugar,refined_sugar_production,LKg,2885683.0,144284.15,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,December,4,refined_sugar,refined_sugar_production,LKg,2932556.0,146627.80000000002,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,December,4,refined_sugar,refined_sugar_production,LKg,2141073.0,107053.65000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,December,4,refined_sugar,refined_sugar_production,LKg,1601292.0,80064.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,January,5,refined_sugar,refined_sugar_production,LKg,2259613.0,112980.65000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,January,5,refined_sugar,refined_sugar_production,LKg,2573611.0,128680.55,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,January,5,refined_sugar,refined_sugar_production,LKg,2909271.0,145463.55000000002,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,January,5,refined_sugar,refined_sugar_production,LKg,3166597.0,158329.85,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,January,5,refined_sugar,refined_sugar_production,LKg,2708125.0,135406.25,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,February,6,refined_sugar,refined_sugar_production,LKg,3124172.0,156208.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,February,6,refined_sugar,refined_sugar_production,LKg,3165192.0,158259.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,February,6,refined_sugar,refined_sugar_production,LKg,3097608.0,154880.4,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,February,6,refined_sugar,refined_sugar_production,LKg,2834026.0,141701.30000000002,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,February,6,refined_sugar,refined_sugar_production,LKg,2820381.0,141019.05000000002,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,March,7,refined_sugar,refined_sugar_production,LKg,3939203.0,196960.15000000002,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,March,7,refined_sugar,refined_sugar_production,LKg,3808332.0,190416.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,March,7,refined_sugar,refined_sugar_production,LKg,3716172.0,185808.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,March,7,refined_sugar,refined_sugar_production,LKg,3105412.0,155270.6,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,March,7,refined_sugar,refined_sugar_production,LKg,2440056.0,122002.8,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,April,8,refined_sugar,refined_sugar_production,LKg,2405134.0,120256.70000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2013-2014,April,8,refined_sugar,refined_sugar_production,LKg,2231665.0,111583.25,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2012-2013,April,8,refined_sugar,refined_sugar_production,LKg,2557688.0,127884.40000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2011-2012,April,8,refined_sugar,refined_sugar_production,LKg,2880487.0,144024.35,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2010-2011,April,8,refined_sugar,refined_sugar_production,LKg,1976195.0,98809.75,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
2014-2015,May,9,refined_sugar,refined_sugar_production,LKg,1711529.0,85576.45000000001,2010-2015,data\extracted\refined_production\2010-2015\table_01_lattice.csv
