crop_year,month,month_order,product_type,metric,unit,value_lkg,value_mt,source_period,source_file
2014-2015,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1418420.0,70921.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1480361.0,74018.05,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1676203.0,83810.15000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1237608.0,61880.4,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,September,1,refined_sugar,refined_sugar_withdrawals,LKg,911148.0,45557.4,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1355836.0,67791.8,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1772969.0,88648.45000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1694900.0,84745.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1511068.0,75553.40000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,October,2,refined_sugar,refined_sugar_withdrawals,LKg,1012403.0,50620.15,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,November,3,refined_sugar,refined_sugar_withdrawals,LKg,2156729.0,107836.45000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1578836.0,78941.8,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1465056.0,73252.8,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1284723.0,64236.15,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,November,3,refined_sugar,refined_sugar_withdrawals,LKg,805945.0,40297.25,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1663150.0,83157.5,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,December,4,refined_sugar,refined_sugar_withdrawals,LKg,2323265.0,116163.25,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1942043.0,97102.15000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1300583.0,65029.15,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1074847.0,53742.350000000006,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1714490.0,85724.5,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1565605.0,78280.25,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1481320.0,74066.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1461171.0,73058.55,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1090875.0,54543.75,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1777931.0,88896.55,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,February,6,refined_sugar,refined_sugar_withdrawals,LKg,2019055.0,100952.75,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1656271.0,82813.55,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1479015.0,73950.75,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1113452.0,55672.600000000006,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,March,7,refined_sugar,refined_sugar_withdrawals,LKg,2154934.0,107746.70000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,March,7,refined_sugar,refined_sugar_withdrawals,LKg,2278333.0,113916.65000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1691548.0,84577.40000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1724968.0,86248.40000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1333760.0,66688.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1679034.0,83951.70000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1652508.0,82625.40000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1673739.0,83686.95000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1963675.0,98183.75,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1118949.0,55947.450000000004,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,May,9,refined_sugar,refined_sugar_withdrawals,LKg,2031509.0,101575.45000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1880503.0,94025.15000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1675787.0,83789.35,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1697336.0,84866.8,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1531500.0,76575.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1243740.0,62187.0,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,June,10,refined_sugar,refined_sugar_withdrawals,LKg,2157932.0,107896.6,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,June,10,refined_sugar,refined_sugar_withdrawals,LKg,2229269.0,111463.45000000001,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1834245.0,91712.25,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1495942.0,74797.1,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1352259.0,67612.95,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1881190.0,94059.5,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,July,11,refined_sugar,refined_sugar_withdrawals,LKg,1535022.0,76751.1,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2078606.0,103930.3,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,July,11,refined_sugar,refined_sugar_withdrawals,LKg,2015467.0,100773.35,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2014-2015,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1617970.0,80898.5,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2013-2014,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1728152.0,86407.6,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2012-2013,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1774497.0,88724.85,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2011-2012,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1324434.0,66221.7,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2010-2011,August,12,refined_sugar,refined_sugar_withdrawals,LKg,1762242.0,88112.1,2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv
2019-2020,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1050586.0,52529.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,September,1,refined_sugar,refined_sugar_withdrawals,LKg,963666.0,48183.3,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,September,1,refined_sugar,refined_sugar_withdrawals,LKg,1200776.0,60038.8,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,September,1,refined_sugar,refined_sugar_withdrawals,LKg,895878.0,44793.9,2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv
