source_period,source_file,crop_year,month,raw_row,reason
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** 45.98 | ** 48.24 | ** 53.79 |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** 45.52 | ** 47.69 | ** 52.60 |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** 45.31 | ** 48.03 | ** 53.32 |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_01_lattice.csv,2019-2020,, |  |  |  | ** 45.15 | ** 48.04 | ** 52.62 |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_02_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_02_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_02_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_02_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
2015-2020,data\extracted\metro_manila_prices\2015-2020\table_02_lattice.csv,2019-2020,, |  |  |  | ** | ** | ** |  |  | ,month_not_detected
