source_period,source_file,raw_row,reason
2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,"MONTH | CROP YEAR2014-2015 | CROP YEAR2013-2014 | CROP YEAR2012-2013 | CROP YEAR2011-2012 | CROP YEAR2010-2011 | 2010-2015 | data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv",not_month_row
2010-2015,data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv,"T O T AL | 2 0,166,002 | 22,318,709 | 20,495,655 | 18,897,432 | 15,266,530 | 2010-2015 | data\extracted\refined_withdrawals\2010-2015\table_01_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv,"MONTH | CROP YEAR2019-2020 | CROP YEAR2018-2019 | CROP YEAR2017-2018 | CROP YEAR2016-2017 |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv,"T O T AL | 14,722,595 | 15,510,362 | 21,820,800 |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_01_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"CROP YEAR2015-2016 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,371,919 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,407,008 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,924,653 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,443,939 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,916,483 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,714,577 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,277,129 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,252,377 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,371,864 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,341,446 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,309,190 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,247,722 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"17,578,307 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2015-2020,data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv,"1,464,859 |  |  |  |  |  | 2015-2020 | data\extracted\refined_withdrawals\2015-2020\table_02_lattice.csv",not_month_row
2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,"MONTH | CROP YEAR2023-2024 | CROP YEAR2023-2024 | CROP YEAR2022-2023 | CROP YEAR2021-2022 | CROP YEAR2020-2021 | 2020-2025 | data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv",not_month_row
2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv,"T O T AL | 13,458,120 | 12,052,097 | 10,524,897 | 17,298,533 | 18,194,832 | 2020-2025 | data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv",not_month_row
